event,gender,time_distance,athlete,location,date,,,,,,,,,
long jump,F,7.09 m (23 ft 3 in),Vilma Bardauskiené (URS),"Prague, Czechoslovakia",29 August 1978[1],,,,,,,,,
long jump,F,7.15 m (23 ft 5+1⁄4 in),Anişoara Cuşmir (ROU),"Bucharest, Romania",1 August 1982[1],,,,,,,,,
long jump,F,7.20 m (23 ft 7+1⁄4 in),Valy Ionescu (ROU),"Bucharest, Romania",1 August 1982[1],,,,,,,,,
long jump,F,7.21 m (23 ft 7+3⁄4 in),Anişoara Cuşmir (ROU),"Bucharest, Romania",15 May 1983[1],,,,,,,,,
long jump,F,7.27 m (23 ft 10 in),Anişoara Cuşmir (ROU),"Bucharest, Romania",4 June 1983[1],,,,,,,,,
long jump,F,7.43 m (24 ft 4+1⁄2 in),Anişoara Cuşmir (ROU),"Bucharest, Romania",4 June 1983[1],,,,,,,,,
long jump,F,7.44 m (24 ft 4+3⁄4 in),Heike Drechsler (GDR),"East Berlin, East Germany",22 September 1985[1],,,,,,,,,
long jump,F,7.45 m (24 ft 5+1⁄4 in),Heike Drechsler (GDR),"Tallinn, Soviet Union",21 June 1986[1],,,,,,,,,
long jump,F,7.45 m (24 ft 5+1⁄4 in),Heike Drechsler (GDR),"Dresden, East Germany",3 July 1986[1],,,,,,,,,
long jump,F,7.45 m (24 ft 5+1⁄4 in),Jackie Joyner-Kersee (USA),"Indianapolis, United States",13 August 1987[1],,,,,,,,,
long jump,F,7.45 m (24 ft 5+1⁄4 in),Galina Chistyakova (URS),"Leningrad, Soviet Union",11 June 1988[1],,,,,,,,,
long jump,F,7.52 m (24 ft 8 in),Galina Chistyakova (URS),"Leningrad, Soviet Union",11 June 1988[1],,,,,,,,,
triple jump,F,14.54 m (47 ft 8+1⁄4 in),Li Huirong (CHN),"Sapporo, Japan[2]",25 August 1990,,,,,,,,,
triple jump,F,14.95 m (49 ft 1⁄2 in),Inessa Kravets (URS),"Moscow, Soviet Union[2]",10 June 1991,,,,,,,,,
triple jump,F,14.97 m (49 ft 1+1⁄4 in),Iolanda Chen (RUS),"Moscow, Russia[2]",18 June 1993,,,,,,,,,
triple jump,F,15.09 m (49 ft 6 in),Anna Biryukova (RUS),"Stuttgart, Germany[2]",21 August 1993,,,,,,,,,
triple jump,F,15.50 m (50 ft 10 in),Inessa Kravets (UKR),"Gothenburg, Sweden[2]",10 August 1995,,,,,,,,,
triple jump,F,15.67 m (51 ft 4+3⁄4 in),Yulimar Rojas (VEN),"Tokyo, Japan",1 August 2021,,,,,,,,,
triple jump,F,15.74 m (51 ft 7+1⁄2 in),Yulimar Rojas (VEN),"Belgrade, Serbia",20 March 2022,,,,,,,,,
shot put,F,10.15 m,Violette Gouraud-Morris (FRA),,14 July 1924,,,,,,,,,
shot put,F,11.57 m,Lilli Henoch (GER),"Paris, France[1]",16 August 1925,,,,,,,,,
shot put,F,10.84 m,Ruth Lange (GER),"Leipzig, Germany",28 May 1927,,,,,,,,,
shot put,F,11.32 m,Ruth Lange (GER),"Prague, Czechoslovakia[1]",6 August 1927,,,,,,,,,
shot put,F,11.52 m,Ruth Lange (GER),"Breslau, Germany[1]",3 June 1928,,,,,,,,,
shot put,F,11.96 m,Grete Heublein (GER),"Berlin, Germany[1]",15 July 1928,,,,,,,,,
shot put,F,12.85 m,Grete Heublein (GER),"Berlin, Germany[1]",21 July 1929,,,,,,,,,
shot put,F,12.88 m,Grete Heublein (GER),"Frankfurt am Main, Germany[1]",28 June 1931,,,,,,,,,
shot put,F,13.70 m,Grete Heublein (GER),"Paris, France[1]",16 August 1931,,,,,,,,,
shot put,F,14.38 m,Gisela Mauermayer (GER),"Bielefeld, Germany[1]",15 July 1934,,,,,,,,,
shot put,F,14.59 m,Tatyana Sevryukova (URS),"Warsaw, Poland[1]",4 August 1948,,,,,,,,,
shot put,F,14.86 m,Klavdia Tochonova (URS),"Moscow, Soviet Union[1]",30 October 1949,,,,,,,,,
shot put,F,15.02 m,Anna Andreyeva (URS),"Tbilisi, Soviet Union[1]",9 November 1950,,,,,,,,,
shot put,F,15.28 m,Galina Zybina (URS),"Ploiești, Romania[1]",26 July 1952,,,,,,,,,
shot put,F,15.37 m,Galina Zybina (URS),"Helsinki, Finland[1]",20 September 1952,,,,,,,,,
shot put,F,15.42 m,Galina Zybina (URS),"Frunze, Soviet Union[1]",1 October 1952,,,,,,,,,
shot put,F,16.20 m,Galina Zybina (URS),"Frunze, Soviet Union[1]",9 October 1953,,,,,,,,,
shot put,F,16.28 m,Galina Zybina (URS),"Malmö, Sweden[1]",14 September 1954,,,,,,,,,
shot put,F,16.28 m,Galina Zybina (URS),"Kiev, Soviet Union[1]",5 September 1955,,,,,,,,,
shot put,F,16.67 m,Galina Zybina (URS),"Leningrad, Soviet Union[1]",15 November 1955,,,,,,,,,
shot put,F,16.76 m,Galina Zybina (URS),"Tbilisi, Soviet Union[1]",13 October 1956,,,,,,,,,
shot put,F,17.25 m,Tamara Press (URS),"Tashkent, Soviet Union[1]",26 April 1959,,,,,,,,,
shot put,F,17.42 m,Tamara Press (URS),"Nalchik, Soviet Union[1]",16 July 1960,,,,,,,,,
shot put,F,17.78 m,Tamara Press (URS),"Moscow, Soviet Union[1]",13 August 1960,,,,,,,,,
shot put,F,18.55 m,Tamara Press (URS),"Moscow, Soviet Union[1]",10 June 1962,,,,,,,,,
shot put,F,18.55 m,Tamara Press (URS),"Leipzig, East Germany[1]",12 September 1962,,,,,,,,,
shot put,F,18.59 m,Tamara Press (URS),"Beograd, Yugoslavia[1]",19 September 1965,,,,,,,,,
shot put,F,18.67 m,Nadezhda Chizhova (URS),"Kassel, West Germany[1]",28 April 1968,,,,,,,,,
shot put,F,18.87 m,Margitta Gummel (GDR),"Sochi, Soviet Union[1]",22 September 1968,,,,,,,,,
shot put,F,19.07 m,Margitta Gummel (GDR),"Frankfurt (Oder), East Germany[1]",20 October 1968,,,,,,,,,
shot put,F,19.61 m,Margitta Gummel (GDR),"Mexico City, Mexico[1]",20 October 1968,,,,,,,,,
shot put,F,19.72 m,Nadezhda Chizhova (URS),"Mexico City, Mexico[1]",30 May 1969,,,,,,,,,
shot put,F,20.09 m,Nadezhda Chizhova (URS),"Moscow, Soviet Union[1]",13 July 1969,,,,,,,,,
shot put,F,20.10 m,Margitta Gummel (GDR),"Chorzów, Poland[1]",11 September 1969,,,,,,,,,
shot put,F,20.10 m,Nadezhda Chizhova (URS),"East Berlin, East Germany[1]",16 September 1969,,,,,,,,,
shot put,F,20.43 m,Nadezhda Chizhova (URS),"Athens, Greece[1]",16 September 1969,,,,,,,,,
shot put,F,20.43 m,Nadezhda Chizhova (URS),"Athens, Greece[1]",29 August 1971,,,,,,,,,
shot put,F,20.63 m,Nadezhda Chizhova (URS),"Moscow, Soviet Union[1]",19 May 1972,,,,,,,,,
shot put,F,21.03 m,Nadezhda Chizhova (URS),"Sochi, Soviet Union[1]",7 September 1972,,,,,,,,,
shot put,F,21.20 m,Nadezhda Chizhova (URS),"Munich, West Germany[1]",28 August 1973,,,,,,,,,
shot put,F,21.60 m,Marianne Adam (GDR),"Lvov, Soviet Union[1]",6 August 1975,,,,,,,,,
shot put,F,21.67 m,Marianne Adam (GDR),"East Berlin, East Germany[1]",30 May 1976,,,,,,,,,
shot put,F,21.87 m,Ivanka Khristova (BUL),"Karl-Marx-Stadt, East Germany[1]",3 July 1976,,,,,,,,,
shot put,F,21.89 m,Ivanka Khristova (BUL),"Belmeken, Bulgaria[1]",4 July 1976,,,,,,,,,
shot put,F,21.99 m,Helena Fibingerová (TCH),"Belmeken, Bulgaria[1]",26 September 1976,,,,,,,,,
shot put,F,22.32 m,Helena Fibingerová (TCH),"Opava, Czechoslovakia[1]",20 August 1977,,,,,,,,,
shot put,F,22.36 m,Ilona Slupianek (GDR),"Nitra, Czechoslovakia[1]",2 May 1980,,,,,,,,,
shot put,F,22.45 m,Ilona Slupianek (GDR),"Celje, Yugoslavia[1]",11 May 1980,,,,,,,,,
shot put,F,22.53 m,Natalya Lisovskaya (URS),"Potsdam, East Germany[1]",27 May 1984,,,,,,,,,
shot put,F,22.60 m,Natalya Lisovskaya (URS),"Sochi, Soviet Union[1]",7 June 1987,,,,,,,,,
shot put,F,22.63 m,Natalya Lisovskaya (URS),"Moscow, Soviet Union[1]",7 June 1987,,,,,,,,,
discus,F,24.90 m (81 ft 8+1⁄4 in),Lilli Henoch (GER),Berlin,1 October 1922,,,,,,,,,
discus,F,26.62 m (87 ft 4 in),Lilli Henoch (GER),Berlin,8 July 1923,,,,,,,,,
discus,F,27.39 m (89 ft 10+1⁄4 in),Yvonne Tembouret (FRA),Paris,23 September 1923[1],,,,,,,,,
discus,F,27.70 m (90 ft 10+1⁄2 in),Lucie Petit (FRA),Paris,14 July 1924[1],,,,,,,,,
discus,F,28.325 m (92 ft 11 in),Lisette Petré (BEL),Brussels,21 July 1924[2][3],,,,,,,,,
discus,F,30.225 m (99 ft 1+3⁄4 in),Lucienne Velu (FRA),Paris,14 September 1924[1],,,,,,,,,
discus,F,31.15 m (102 ft 2+1⁄4 in),Maria Vidlaková (TCH),Prague,11 October 1925[1],,,,,,,,,
discus,F,34.15 m (112 ft 1⁄4 in),Halina Konopacka (POL),Warsaw,23 May 1926[1],,,,,,,,,
discus,F,38.34 m (125 ft 9+1⁄4 in),Milly Reuter (GER),"Braunschweig, Germany",22 August 1926[1],,,,,,,,,
discus,F,39.18 m (128 ft 6+1⁄2 in),Halina Konopacka (POL),Warsaw,4 September 1927[1],,,,,,,,,
discus,F,39.62 m (129 ft 11+3⁄4 in),Halina Konopacka (POL),Amsterdam,31 July 1928[1],,,,,,,,,
discus,F,40.345 m (132 ft 4+1⁄4 in),Jadwiga Wajs (POL),"Pabianice, Poland",15 May 1932[1],,,,,,,,,
discus,F,40.39 m (132 ft 6 in),Jadwiga Wajs (POL),"Łódź, Poland",16 May 1932[1],,,,,,,,,
discus,F,40.84 m (133 ft 11+3⁄4 in),Grete Heublein (GER),"Hagen, Germany",19 Jun 1932[1],,,,,,,,,
discus,F,42.43 m (139 ft 2+1⁄4 in),Jadwiga Wajs (POL),"Łódź, Poland",19 June 1932[1],,,,,,,,,
discus,F,43.08 m (141 ft 4 in),Jadwiga Wajs (POL),"Królewska Huta, Poland",15 July 1933[1],,,,,,,,,
discus,F,43.795 m (143 ft 8 in),Jadwiga Wajs (POL),London,11 August 1934[1],,,,,,,,,
discus,F,44.34 m (145 ft 5+1⁄2 in),Gisela Mauermayer (GER),"Ulm, Germany",2 June 1935[1],,,,,,,,,
discus,F,44.76 m (146 ft 10 in),Gisela Mauermayer (GER),"Nuremberg, Germany",4 June 1935[1],,,,,,,,,
discus,F,45.53 m (149 ft 4+1⁄2 in),Gisela Mauermayer (GER),Munich,23 June 1935[1],,,,,,,,,
discus,F,46.10 m (151 ft 2+3⁄4 in),Gisela Mauermayer (GER),"Jena, Germany",29 June 1935[1],,,,,,,,,
discus,F,47.12 m (154 ft 7 in),Gisela Mauermayer (GER),"Dresden, Germany",25 August 1935[1],,,,,,,,,
discus,F,48.31 m (158 ft 5+3⁄4 in),Gisela Mauermayer (GER),Berlin,11 July 1936[1],,,,,,,,,
discus,F,53.25 m (174 ft 8+1⁄4 in),Nina Dumbadze (URS),Moscow,8 August 1948[1],,,,,,,,,
discus,F,53.37 m (175 ft 1 in),Nina Dumbadze (URS),"Gori, Soviet Union",27 May 1951[1],,,,,,,,,
discus,F,53.61 m (175 ft 10+1⁄2 in),Nina Romashkova (URS),"Odessa, Soviet Union",9 August 1952[1],,,,,,,,,
discus,F,57.04 m (187 ft 1+1⁄2 in),Nina Dumbadze (URS),"Tbilisi, Soviet Union",18 October 1952[1],,,,,,,,,
discus,F,57.15 m (187 ft 6 in),Tamara Press (URS),Rome,12 September 1960[1],,,,,,,,,
discus,F,57.43 m (188 ft 5 in),Tamara Press (URS),Moscow,15 July 1961[1],,,,,,,,,
discus,F,58.06 m (190 ft 5+3⁄4 in),Tamara Press (URS),"Sofia, Bulgaria",1 September 1961[1],,,,,,,,,
discus,F,58.98 m (193 ft 6 in),Tamara Press (URS),London,20 September 1961[1],,,,,,,,,
discus,F,59.29 m (194 ft 6+1⁄4 in),Tamara Press (URS),Moscow,18 May 1963[1],,,,,,,,,
discus,F,59.70 m (195 ft 10+1⁄4 in),Tamara Press (URS),Moscow,11 August 1965[1],,,,,,,,,
discus,F,61.26 m (200 ft 11+3⁄4 in),Liesel Westermann (FRG),"São Paulo, Brazil",5 November 1967[1],,,,,,,,,
discus,F,61.64 m (202 ft 2+3⁄4 in),Christine Spielberg (GDR),"Regis-Breitingen, East Germany",26 May 1968[1],,,,,,,,,
discus,F,62.54 m (205 ft 2 in),Liesel Westermann (FRG),"Werdohl, West Germany",24 July 1968[1],,,,,,,,,
discus,F,62.70 m (205 ft 8+1⁄2 in),Liesel Westermann (FRG),"East Berlin, East Germany",18 June 1969[1],,,,,,,,,
discus,F,63.96 m (209 ft 10 in),Liesel Westermann (FRG),"Hamburg, West Germany",27 September 1969[1],,,,,,,,,
discus,F,64.22 m (210 ft 8+1⁄4 in),Faina Melnik (URS),Helsinki,12 August 1971[1],,,,,,,,,
discus,F,64.88 m (212 ft 10+1⁄4 in),Faina Melnik (URS),Munich,4 September 1971[1],,,,,,,,,
discus,F,65.42 m (214 ft 7+1⁄2 in),Faina Melnik (URS),Moscow,31 May 1972[1][4],,,,,,,,,
discus,F,65.48 m (214 ft 9+3⁄4 in),Faina Melnik (URS),"Augsburg, West Germany",24 June 1972[1][4],,,,,,,,,
discus,F,66.76 m (219 ft 1⁄4 in),Faina Melnik (URS),Moscow,4 August 1972[1][4],,,,,,,,,
discus,F,67.32 m (220 ft 10+1⁄4 in),Argentina Menis (ROU),"Constanța, Romania",23 September 1972[1][4],,,,,,,,,
discus,F,67.44 m (221 ft 3 in),Faina Melnik (URS),"Riga, Soviet Union",25 May 1973[1][4],,,,,,,,,
discus,F,67.58 m (221 ft 8+1⁄2 in),Faina Melnik (URS),Moscow,10 July 1973[1][4],,,,,,,,,
discus,F,69.48 m (227 ft 11+1⁄4 in),Faina Melnik (URS),Edinburgh,7 September 1973[1][4],,,,,,,,,
discus,F,69.90 m (229 ft 3+3⁄4 in),Faina Melnik (URS),Prague,27 May 1974[1][4],,,,,,,,,
discus,F,70.20 m (230 ft 3+3⁄4 in),Faina Melnik (URS),Zurich,20 August 1975[1][4],,,,,,,,,
discus,F,70.50 m (231 ft 3+1⁄2 in),Faina Melnik (URS),"Sochi, Soviet Union",24 April 1976[1][4],,,,,,,,,
discus,F,70.72 m (232 ft 1⁄4 in),Evelin Jahl (GDR),"Dresden, East Germany",12 August 1978[1][4],,,,,,,,,
discus,F,71.50 m (234 ft 6+3⁄4 in),Evelin Jahl (GDR),"Potsdam, East Germany",10 May 1980[1][4],,,,,,,,,
discus,F,71.80 m (235 ft 6+3⁄4 in),Mariya Petkova (BUL),"Sofia, Bulgaria",13 July 1980[1][4],,,,,,,,,
discus,F,73.26 m (240 ft 4+1⁄4 in),Galina Savinkova (URS),"Leselidze, Soviet Union",22 May 1983[1][4],,,,,,,,,
discus,F,73.36 m (240 ft 8 in),Irina Meszynski (GDR),Prague,17 August 1984[1][4],,,,,,,,,
discus,F,74.56 m (244 ft 7+1⁄4 in),Zdeňka Šilhavá (TCH),"Nitra, Czechoslovakia",26 August 1984[1][4],,,,,,,,,
discus,F,76.80 m (251 ft 11+1⁄2 in),Gabriele Reinsch (GDR),"Neubrandenburg, East Germany",9 July 1988[1][4],,,,,,,,,
hammer,F,66.84 m (219 ft 3 in),Olga Kuzenkova (RUS),"Adler, Russia",23 February 1994,,,,,,,,,
hammer,F,66.86 m (219 ft 4 in),Mihaela Melinte (ROM),"Bucharest, Romania",4 March 1995,,,,,,,,,
hammer,F,67.00 m (219 ft 9 in),Olga Kuzenkova (RUS),"Moscow, Russia",24 May 1995,,,,,,,,,
hammer,F,68.14 m (223 ft 6 in),Olga Kuzenkova (RUS),"Moscow, Russia",5 June 1995,,,,,,,,,
hammer,F,68.16 m (223 ft 7 in),Olga Kuzenkova (RUS),"Moscow, Russia",18 June 1995,,,,,,,,,
hammer,F,69.42 m (227 ft 9 in),Mihaela Melinte (ROM),"Bucharest, Romania",12 May 1996,,,,,,,,,
hammer,F,69.58 m (228 ft 3 in),Mihaela Melinte (ROM),"Bucharest, Romania",8 March 1997,,,,,,,,,
hammer,F,71.22 m (233 ft 7 in),Olga Kuzenkova (RUS),"Munich, Germany",22 June 1997,,,,,,,,,
hammer,F,73.10 m (239 ft 9 in),Olga Kuzenkova (RUS),"Munich, Germany",22 June 1997,,,,,,,,,
hammer,F,73.14 m (239 ft 11 in),Mihaela Melinte (ROM),"Poiana Brasov, Romania",16 July 1998,,,,,,,,,
hammer,F,75.29 m (247 ft 0 in),Mihaela Melinte (ROM),"Clermont-Ferrand, France",13 May 1999,,,,,,,,,
hammer,F,75.97 m (249 ft 2 in),Mihaela Melinte (ROM),"Clermont-Ferrand, France",13 May 1999,,,,,,,,,
hammer,F,76.05 m (249 ft 6 in),Mihaela Melinte (ROM),"Rüdlingen, Switzerland",29 August 1999,,,,,,,,,
hammer,F,76.07 m (249 ft 6 in),Mihaela Melinte (ROM),"Rüdlingen, Switzerland",29 August 1999,,,,,,,,,
hammer,F,77.06 m (252 ft 9 in),Tatyana Lysenko (RUS),"Moscow, Russia",15 July 2005,,,,,,,,,
hammer,F,77.26 m (253 ft 5 in),Gulfiya Khanafeyeva (RUS),"Tula, Russia",12 June 2006,,,,,,,,,
hammer,F,77.41 m (253 ft 11 in),Tatyana Lysenko (RUS),"Zhukovsky, Russia",24 June 2006,,,,,,,,,
hammer,F,77.80 m (255 ft 2 in),Tatyana Lysenko (RUS),"Tallinn, Estonia",15 August 2006,,,,,,,,,
hammer,F,77.96 m (255 ft 9 in),Anita Włodarczyk (POL),"Berlin, Germany",22 August 2009,,,,,,,,,
hammer,F,78.30 m (256 ft 10 in),Anita Włodarczyk (POL),"Bydgoszcz, Poland",6 June 2010,,,,,,,,,
hammer,F,79.42 m (260 ft 6 in),Betty Heidler (GER),"Halle/Saale, Germany",21 May 2011,,,,,,,,,
hammer,F,79.58 m (261 ft 1 in),Anita Włodarczyk (POL),"Berlin, Germany",31 August 2014,,,,,,,,,
hammer,F,81.08 m (266 ft 0 in),Anita Włodarczyk (POL),"Władysławowo, Poland",1 August 2015,,,,,,,,,
hammer,F,82.29 m (269 ft 11 in),Anita Włodarczyk (POL),"Rio de Janeiro, Brazil",15 August 2016,,,,,,,,,
hammer,F,82.98 m (272 ft 2 in),Anita Włodarczyk (POL),"Warsaw, Poland",28 August 2016,,,,,,,,,
javelin,F,67.09,Mirela Maniani,Seville,1999-08-28,,,,,,,,,
javelin,F,68.22,Trine Hattestad,Rome,2000-06-30,,,,,,,,,
javelin,F,69.48,Trine Hattestad,Oslo,2000-07-28,,,,,,,,,
javelin,F,71.54,Osleidys Menéndez,Rethymno,2001-07-01,,,,,,,,,
javelin,F,71.7,Osleidys Menéndez,Helsinki,2005-08-14,,,,,,,,,
javelin,F,72.28,Barbora Špotáková,Stuttgart,2008-09-13,,,,,,,,,
heptathlon,F,5654,Liesl Albert,Dillingen,"October 8, 1978",,,,,,,,,
heptathlon,F,5691,Andrea Findeis,Zabrze,"September 16, 1979",,,,,,,,,
heptathlon,F,5671,Nadezhda Vinogradova,Frunze,"September 30, 1979",,,,,,,,,
heptathlon,F,5730,Silvia Barlag,Longwy,"September 30, 1979",,,,,,,,,
heptathlon,F,5777,Tatyana Shpak,Donetsk,"May 30, 1980",,,,,,,,,
heptathlon,F,5930,Nina Golovina,Pyatigorsk,"July 13, 1980",,,,,,,,,
heptathlon,F,6095,Yekaterina Gordiyenko,Odessa,"September 14, 1980",,,,,,,,,
heptathlon,F,6104,Jane Frederick,Walnut,"April 24, 1981",,,,,,,,,
heptathlon,F,6181,Nadezhda Vinogradova,Kislovodsk,"May 6, 1981",,,,,,,,,
heptathlon,F,6670,Ramona Neubert,Halle,"May 24, 1981",,,,,,,,,
heptathlon,F,6788,Ramona Neubert,Kiev,"June 28, 1981",,,,,,,,,
heptathlon,F,6845,Ramona Neubert,Halle,"June 20, 1982",,,,,,,,,
heptathlon,F,6935,Ramona Neubert,Moscow,"June 19, 1983",,,,,,,,,
heptathlon,F,6946,Sabine Paetz,Potsdam,"May 6, 1984",,,,,,,,,
heptathlon,F,7148,Jackie Joyner,Moscow,"July 7, 1986",,,,,,,,,
heptathlon,F,7161,Jackie Joyner,Houston,"August 2, 1986",,,,,,,,,
heptathlon,F,7215,Jackie Joyner-Kersee,Indianapolis,"July 17, 1988",,,,,,,,,
heptathlon,F,7291,Jackie Joyner-Kersee,Seoul,"September 24, 1988",,,,,,,,,
20km walk,F,2:24:00,Antonie Briksová (TCH),"Prague, Czechoslovakia",1931-09-06,,,,,,,,,
20km walk,F,2:14:07,Antonie Odvárková (TCH),"Prague, Czechoslovakia",1931-09-14,,,,,,,,,
20km walk,F,1:59:02,Lina Aebersold (SUI),"Zürich, Switzerland",1934-06-09,,,,,,,,,
20km walk,F,1:57:35,Marie van Tonder (RSA),"Cape Town, South Africa",1962-07-28,,,,,,,,,
20km walk,F,1:57:26,Irma Hansson (SWE),"Copenhagen, Denmark",1963-10-27,,,,,,,,,
20km walk,F,1:54:30,Irma Hansson (SWE),"Copenhagen, Denmark",1967-10-22,,,,,,,,,
20km walk,F,1:53:46,Karin Møller (DEN),"Copenhagen, Denmark",1968-10-27,,,,,,,,,
20km walk,F,1:51:05,Irma Hansson (SWE),"Copenhagen, Denmark",1969-10-12,,,,,,,,,
20km walk,F,1:47:10,Margareta Simu (SWE),"Copenhagen, Denmark",1973-09-22,,,,,,,,,
20km walk,F,1:43:38,Lilian Harpur (AUS),"Adelaide, Australia",1977-07-16,,,,,,,,,
20km walk,F,1:43:20,Thorill Gylder (NOR),"Mixhuca, Mexico",1978-04-23,,,,,,,,,
20km walk,F,1:41:42,Susan Cook (AUS),"Melbourne, Australia",1980-02-03,,,,,,,,,
20km walk,F,1:39:31,Susan Cook (AUS),"Melbourne, Australia",1981-12-20,,,,,,,,,
20km walk,F,1:36:36,Susan Cook (AUS),"Melbourne, Australia",1982-12-19,,,,,,,,,
20km walk,F,1:36:23,Susan Cook (AUS),"Canberra, Australia",1984-07-07,,,,,,,,,
20km walk,F,1:36:19,Sally Pierson (AUS),"Melbourne, Australia",1984-07-17,,,,,,,,,
20km walk,F,1:29:40,Kerry Saxby-Junna (AUS),"Vårname, Sweden",1988-05-13,,,,,,,,,
20km walk,F,1:27:30,Liu Hongyu (CHN),"Beijing, China",1995-05-01,,,,,,,,,
20km walk,F,1:27:30,Nadezhda Ryashkina (RUS),"Adler, Russia",1999-02-07,,,,,,,,,
20km walk,F,1:26:22,Wang Yan (CHN),"Guangzhou, China",2001-11-19,,,,,,,,,
20km walk,F,1:25:41,Olimpiada Ivanova (RUS),"Helsinki, Finland",2005-08-07,,,,,,,,,
20km walk,F,1:25:08,Vera Sokolova (RUS),"Sochi, Russia",2011-02-26,,,,,,,,,
20km walk,F,1:25:02,Elena Lashmanova (RUS),"London, England",2012-08-11,,,,,,[1],,,
20km walk,F,1:24:47,Elmira Alembekova (RUS),"Sochi, Russia",2015-02-27,,,,,,[2],,,
20km walk,F,1:24:38,Liu Hong (CHN),"A Coruña, Spain",2015-06-06,,,,,,,,,
20km walk,F,1:23:49,Yang Jiayu (CHN),Huangshan,2021-03-20,,,,,,,,,
Women's 4 x 100m relay,F,42.5,"Marlies Oelsner, Renate Stecher, Carla Bodendorf, Martina Blos",Karl-Marx-Stadt,1976-05-29,,,,,,,,,
Women's 4 x 100m relay,F,42.27,"Johanna Klier, Monika Hamann, Carla Bodendorf, Marlies Göhr",Potsdam,1978-08-19,,,,,,,,,
Women's 4 x 100m relay,F,42.1,"Marita Koch, Romy Schneider, Ingrid Auerswald, Marlies Göhr",Karl-Marx-Stadt,1979-06-10,,,,,,,,,
Women's 4 x 100m relay,F,42.09,"Christina Brehmer, Romy Schneider, Ingrid Auerswald, Marlies Göhr",Turin,1979-08-04,,,,,,,,,
Women's 4 x 100m relay,F,42.09,"Romy Müller, Bärbel Wöckel, Ingrid Auerswald, Marlies Göhr",East Berlin,1980-07-09,,,,,,,,,
Women's 4 x 100m relay,F,41.85,"Romy Müller, Bärbel Wöckel, Ingrid Auerswald, Marlies Göhr",Potsdam,1980-07-13,,,,,,,,,
Women's 4 x 100m relay,F,41.6,"Romy Müller, Bärbel Wöckel, Ingrid Auerswald, Marlies Göhr",Moscow,1980-08-01,,,,,,,,,
Women's 4 x 100m relay,F,41.53,"Silke Gladisch, Marita Koch, Ingrid Auerswald, Marlies Göhr",East Berlin,1983-07-31,,,,,,,,,
Women's 4 x 100m relay,F,41.37,"Silke Gladisch, Sabine Rieger, Ingrid Auerswald, Marlies Göhr",Canberra,1985-10-06,,,,,,,,,
Women's 4 x 100m relay,F,40.82,"Tianna Madison, Allyson Felix, Bianca Knight, Carmelita Jeter",London,2012-08-10[4],,,,,,,,,
Women's 4 x 400m relay,F,3:47.4,"Ljubov Finogenova, Tatjana Medvedeva, Tamara Voitenko, Olga Klein",Moscow,1969-05-30,,,,,,,,,
Women's 4 x 400m relay,F,3:43.2,"Lilita Zāģere, Anna Dundare, Ingrīda Verbele, Sarmīte Štūla",Minsk,1969-06-01,,,,,,,,,
Women's 4 x 400m relay,F,3:37.6,"Jenny Pawsey, Pauline Attwood, Janet Simpson, Lillian Board",London,1969-06-22,,,,,,,,,
Women's 4 x 400m relay,F,3:34.2,"Michele Mombet, Éliane Jacq, Nicole Duclos, Colette Besson",Colombes,1969-07-06,,,,,,,,,
Women's 4 x 400m relay,F,3:33.9,"Christa Czekay, Antje Gleichfeld, Inge Eckhoff, Christel Frese",Piraeus,1969-09-19,,,,,,,,,
Women's 4 x 400m relay,F,3:30.8,"Rosemary Stirling, Pat Lowe, Janet Simpson, Lillian Board",Piraeus,1969-09-20,,,,,,,,,
Women's 4 x 400m relay,F,3:30.8,"Bernadette Martin, Nicole Duclos, Éliane Jacq, Colette Besson",Athens,1969-09-20,,,,,,,,,
Women's 4 x 400m relay,F,3:29.3,"Rita Kühne, Ingelore Lohse, Helga Seidler, Monika Zehrt",Helsinki,1971-08-15,,,,,,,,,
Women's 4 x 400m relay,F,3:28.8,"Dagmar Käsling, Rita Kühne, Monika Zehrt, Brigitte Rohde",Colombes,1972-07-05,,,,,,,,,
Women's 4 x 400m relay,F,3:28.5,"Dagmar Käsling, Rita Kühne, Helga Seidler, Monika Zehrt",Munich,1972-09-09,,,,,,,,,
Women's 4 x 400m relay,F,3:23.0,"Dagmar Käsling, Rita Kühne, Helga Seidler, Monika Zehrt",,1972-09-10,,,,,,,,,
Women's 4 x 400m relay,F,3:19.2,"Doris Maletzki, Brigitte Rohde, Ellen Streidt, Christina Brehmer",,1976-07-31,,,,,,,,,
Women's 4 x 400m relay,F,3:19.04,"Kirsten Siemon, Sabine Busch, Dagmar Rübsam, Marita Koch",,1982-09-11,,,,,,,,,
Women's 4 x 400m relay,F,3:15.92,"Gesine Walther, Sabine Busch, Dagmar Rübsam, Marita Koch",,1984-06-03,,,,,,,,,
Women's 4 x 400m relay,F,3:15.17,"Tatyana Ledovskaya, Olga Nazarova, Mariya Pinigina, Olga Bryzgina",,1988-10-01,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
